#logging stats for session scenario_20220404_075635_215
#[Histogram log format version 1.0]
#[StartTime: 1649058995.908 (seconds since epoch), Mon Apr 04 07:56:35 GMT 2022]
#[TimeUnit: NANOSECONDS]
#Tag,Interval_Start,Interval_Length,count,min,p25,p50,p75,p90,p95,p98,p99,p999,p9999,max
Tag=cbaworkload_default_000.block2--insert-rampup--success,2.559,7.442,1,4079616,4081663,4081663,4081663,4081663,4081663,4081663,4081663,4081663,4081663,4081663
Tag=cbaworkload_default_000.block2--insert-rampup--error,2.562,7.445,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.block2--insert-rampup--resultset-size,2.568,7.440,1,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.tokenfiller,3.099,6.909,6276,1009664,1014271,1016319,1018879,1019903,1019903,1019903,1020415,1020415,1020415,18186239
Tag=cbaworkload_default_000.retry-delay,3.132,6.880,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.pages,3.133,6.879,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.skipped-tokens,3.134,6.879,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.resultset-size,3.135,6.878,1,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.read_input,3.15,6.864,2,164992,165119,165119,165119,165119,165119,165119,165119,165119,165119,2514943
Tag=cbaworkload_default_000.strides.servicetime,3.151,6.865,1,13516800,13524991,13524991,13524991,13524991,13524991,13524991,13524991,13524991,13524991,13524991
Tag=cbaworkload_default_000.bind,3.153,6.868,1,4534272,4538367,4538367,4538367,4538367,4538367,4538367,4538367,4538367,4538367,4538367
Tag=cbaworkload_default_000.execute,3.154,6.871,1,1551360,1552383,1552383,1552383,1552383,1552383,1552383,1552383,1552383,1552383,1552383
Tag=cbaworkload_default_000.result,3.155,6.873,1,2897920,2899967,2899967,2899967,2899967,2899967,2899967,2899967,2899967,2899967,2899967
Tag=cbaworkload_default_000.result-success,3.155,6.877,1,4079616,4081663,4081663,4081663,4081663,4081663,4081663,4081663,4081663,4081663,4081663
Tag=cbaworkload_default_000.tries,3.156,6.879,1,1,1,1,1,1,1,1,1,1,1,1
Tag=cbaworkload_default_000.cycles.servicetime,3.156,6.880,1,58523648,58556415,58556415,58556415,58556415,58556415,58556415,58556415,58556415,58556415,58556415
Tag=cbaworkload_default_000.phases.servicetime,3.157,6.883,1,12271616,12279807,12279807,12279807,12279807,12279807,12279807,12279807,12279807,12279807,12279807
Tag=cbaworkload_default_001.block2--insert-rampup--success,3.209,6.835,8012,288256,327679,339455,347647,354047,355839,356607,357119,357119,357119,33914879
Tag=cbaworkload_default_001.block2--insert-rampup--error,3.209,6.838,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_001.block2--insert-rampup--resultset-size,3.209,6.839,8018,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_001.tokenfiller,3.364,6.684,6111,1012736,1023999,1028607,1031167,1032703,1033727,1034239,1034239,1034239,1034239,17678335
Tag=cbaworkload_default_001.retry-delay,3.37,6.681,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_001.pages,3.37,6.681,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_001.skipped-tokens,3.37,6.682,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_001.resultset-size,3.37,6.682,8023,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_001.read_input,3.382,6.670,8123,400,600,700,700,700,700,700,700,700,700,76607
Tag=cbaworkload_default_001.strides.servicetime,3.383,6.670,8024,361472,674303,785407,870911,912895,918015,919039,923135,928767,928767,834666495
Tag=cbaworkload_default_001.bind,3.383,6.672,8028,28896,30703,31103,31615,31807,31807,31903,31903,31903,31903,18743295
Tag=cbaworkload_default_001.execute,3.384,6.673,8029,8600,10807,11103,11407,11607,11703,11703,11703,11807,11807,5156863
Tag=cbaworkload_default_001.result,3.384,6.675,8031,23200,276223,294143,300799,307199,308735,309759,309759,309759,309759,35422207
Tag=cbaworkload_default_001.result-success,3.384,6.677,8033,288256,327423,339455,347647,354047,354815,356351,356607,357119,357119,33914879
Tag=cbaworkload_default_001.tries,3.385,6.678,8036,1,1,1,1,1,1,1,1,1,1,1
Tag=cbaworkload_default_001.cycles.servicetime,3.386,6.677,8036,389120,592383,626687,647167,658431,660991,661503,662015,663039,663039,61341695
Tag=cbaworkload_default_001.phases.servicetime,3.386,6.680,8040,336896,381439,399359,413183,416767,419839,420095,420095,420095,420095,36175871
Tag=cbaworkload_default_000.block2--insert-rampup--success,10.001,10.001,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.block2--insert-rampup--error,10.007,9.995,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.block2--insert-rampup--resultset-size,10.008,9.995,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.tokenfiller,10.008,9.995,9183,1010176,1014783,1017343,1019391,1021439,1021951,1022463,1022463,1022463,1022463,9568255
Tag=cbaworkload_default_000.retry-delay,10.012,9.994,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.pages,10.012,9.994,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.skipped-tokens,10.013,9.994,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.resultset-size,10.013,9.994,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.read_input,10.014,9.994,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.strides.servicetime,10.016,9.992,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.bind,10.021,9.988,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.execute,10.025,9.985,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.result,10.028,9.982,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.result-success,10.032,9.979,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.tries,10.035,9.976,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.cycles.servicetime,10.036,9.976,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.phases.servicetime,10.04,9.973,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_001.block2--insert-rampup--success,10.044,9.969,11964,238976,265215,276479,281599,287487,287999,288767,289023,289023,289023,28868607
Tag=cbaworkload_default_001.block2--insert-rampup--error,10.047,9.969,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_001.block2--insert-rampup--resultset-size,10.048,9.968,11962,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_001.tokenfiller,10.048,9.968,9159,1015296,1029631,1036287,1043455,1046527,1047551,1048575,1049599,1049599,1049599,14131199
Tag=cbaworkload_default_001.retry-delay,10.051,9.968,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_001.pages,10.051,9.968,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_001.skipped-tokens,10.052,9.968,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_001.resultset-size,10.052,9.968,11962,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_001.read_input,10.052,9.968,11962,400,600,600,600,600,600,600,600,600,600,60511
Tag=cbaworkload_default_001.strides.servicetime,10.053,9.968,11962,398592,837631,1076223,1298431,1622015,1681407,1692671,1694719,1702911,1702911,741867519
Tag=cbaworkload_default_001.bind,10.055,9.969,11962,23088,24703,25103,25407,25615,25711,25711,25711,25711,25711,20529151
Tag=cbaworkload_default_001.execute,10.057,9.969,11964,5100,5703,5903,6003,6103,6103,6103,6103,6103,6103,17596415
Tag=cbaworkload_default_001.result,10.059,9.969,11959,144256,230143,241663,251135,253695,254079,254463,254719,254719,254719,28835839
Tag=cbaworkload_default_001.result-success,10.061,9.969,11957,238976,265215,276479,281343,287487,287999,288511,288767,289023,289023,28868607
Tag=cbaworkload_default_001.tries,10.063,9.969,11954,1,1,1,1,1,1,1,1,1,1,1
Tag=cbaworkload_default_001.cycles.servicetime,10.063,9.970,11954,392704,487679,507135,526847,538111,541695,544767,544767,544767,544767,30015487
Tag=cbaworkload_default_001.phases.servicetime,10.066,9.969,11950,278016,314623,326143,332799,336895,338431,339455,339455,339711,339711,28934143
Tag=cbaworkload_default_000.block2--insert-rampup--success,20.002,9.999,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.block2--insert-rampup--error,20.002,10.001,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.block2--insert-rampup--resultset-size,20.003,10.001,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.tokenfiller,20.003,10.001,9209,1009152,1015295,1018879,1021439,1024511,1024511,1025023,1025023,1025023,1025023,5734399
Tag=cbaworkload_default_000.retry-delay,20.006,10.000,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.pages,20.006,10.001,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.skipped-tokens,20.007,10.000,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.resultset-size,20.007,10.001,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.read_input,20.008,10.000,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.strides.servicetime,20.008,10.002,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.bind,20.009,10.004,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.execute,20.01,10.006,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.result,20.01,10.008,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.result-success,20.011,10.010,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.tries,20.011,10.012,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.cycles.servicetime,20.012,10.012,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.phases.servicetime,20.013,10.014,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_001.block2--insert-rampup--success,20.013,10.017,12008,243712,271871,282623,291071,294655,295423,295679,295935,296191,296447,84344831
Tag=cbaworkload_default_001.block2--insert-rampup--error,20.016,10.016,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_001.block2--insert-rampup--resultset-size,20.016,10.017,12004,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_001.tokenfiller,20.016,10.017,9214,1012224,1030655,1041407,1052671,1056767,1059839,1059839,1059839,1059839,1059839,5513215
Tag=cbaworkload_default_001.retry-delay,20.019,10.016,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_001.pages,20.019,10.017,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_001.skipped-tokens,20.02,10.016,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_001.resultset-size,20.02,10.016,11999,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_001.read_input,20.02,10.016,11999,200,200,200,300,300,300,300,300,300,300,57919
Tag=cbaworkload_default_001.strides.servicetime,20.021,10.016,11998,305152,689151,854527,1021951,1125375,1177599,1207295,1212415,1219583,1219583,686817279
Tag=cbaworkload_default_001.bind,20.024,10.016,12019,21392,24415,24911,25215,25407,25407,25407,25407,25407,25407,5578751
Tag=cbaworkload_default_001.execute,20.026,10.015,12017,4400,6003,6203,6203,6303,6303,6303,6303,6303,6303,482815
Tag=cbaworkload_default_001.result,20.028,10.015,11994,178304,234367,249215,257023,260607,262015,263423,263423,263679,263679,87556095
Tag=cbaworkload_default_001.result-success,20.03,10.015,11994,243712,271615,282623,291071,294655,295423,295935,296191,296447,296447,84344831
Tag=cbaworkload_default_001.tries,20.032,10.015,11994,1,1,1,1,1,1,1,1,1,1,1
Tag=cbaworkload_default_001.cycles.servicetime,20.033,10.014,11994,380928,488959,512767,540159,547839,549887,551423,551423,551935,551935,87621631
Tag=cbaworkload_default_001.phases.servicetime,20.035,10.015,11994,282624,326143,335871,344831,348415,350207,350719,350719,350719,350719,87556095
Tag=cbaworkload_default_000.block2--insert-rampup--success,30.001,10.001,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.block2--insert-rampup--error,30.003,9.999,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.block2--insert-rampup--resultset-size,30.004,9.999,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.tokenfiller,30.004,9.999,9222,1010176,1013759,1015807,1017855,1019903,1020415,1020415,1020927,1020927,1020927,8163327
Tag=cbaworkload_default_000.retry-delay,30.006,9.999,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.pages,30.007,9.999,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.skipped-tokens,30.007,9.999,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.resultset-size,30.008,9.999,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.read_input,30.008,9.999,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.strides.servicetime,30.01,9.998,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.bind,30.013,9.995,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.execute,30.016,9.993,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.result,30.018,9.991,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.result-success,30.021,9.989,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.tries,30.023,9.987,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.cycles.servicetime,30.024,9.987,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.phases.servicetime,30.027,9.985,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_001.block2--insert-rampup--success,30.03,9.982,11990,231552,262399,269823,275199,278527,279551,280063,280319,280575,280575,76218367
Tag=cbaworkload_default_001.block2--insert-rampup--error,30.032,9.982,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_001.block2--insert-rampup--resultset-size,30.033,9.982,11994,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_001.tokenfiller,30.033,9.982,9209,1011200,1030655,1037311,1052671,1059839,1059839,1060863,1060863,1060863,1060863,5337087
Tag=cbaworkload_default_001.retry-delay,30.035,9.982,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_001.pages,30.036,9.982,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_001.skipped-tokens,30.036,9.982,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_001.resultset-size,30.036,9.983,11999,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_001.read_input,30.036,9.983,11999,200,200,200,200,200,200,200,200,200,200,70463
Tag=cbaworkload_default_001.strides.servicetime,30.037,9.982,11999,384512,883199,1165311,1316863,1475583,1557503,1581055,1592319,1619967,1619967,670040063
Tag=cbaworkload_default_001.bind,30.04,9.982,11978,21200,24815,25103,25311,25407,25407,25503,25503,25503,25503,4579327
Tag=cbaworkload_default_001.execute,30.041,9.983,11979,4200,5703,5803,6003,6003,6003,6003,6003,6003,6003,5304319
Tag=cbaworkload_default_001.result,30.043,9.982,12006,187776,228607,239231,244607,247423,248447,248831,249087,249087,249215,76218367
Tag=cbaworkload_default_001.result-success,30.045,9.982,12008,231552,262911,269823,275199,278783,279551,280063,280319,280575,280831,76218367
Tag=cbaworkload_default_001.tries,30.047,9.983,12012,1,1,1,1,1,1,1,1,1,1,1
Tag=cbaworkload_default_001.cycles.servicetime,30.047,9.983,12012,384256,465919,498431,510463,516863,519679,520959,521215,522239,522751,76808191
Tag=cbaworkload_default_001.phases.servicetime,30.05,9.982,12015,267264,307711,316415,323839,327423,327935,328447,328447,328959,328959,76283903
Tag=cbaworkload_default_000.block2--insert-rampup--success,40.002,9.999,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.block2--insert-rampup--error,40.002,10.002,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.block2--insert-rampup--resultset-size,40.003,10.001,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.tokenfiller,40.003,10.002,9218,1008128,1012735,1015295,1018367,1019391,1019903,1020415,1020415,1020415,1020415,6361087
Tag=cbaworkload_default_000.retry-delay,40.005,10.003,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.pages,40.006,10.002,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.skipped-tokens,40.006,10.003,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.resultset-size,40.007,10.003,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.read_input,40.007,10.003,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.strides.servicetime,40.008,10.005,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.bind,40.008,10.008,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.execute,40.009,10.010,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.result,40.009,10.012,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.result-success,40.01,10.014,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.tries,40.01,10.016,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.cycles.servicetime,40.011,10.015,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.phases.servicetime,40.012,10.017,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_001.block2--insert-rampup--success,40.012,10.020,11998,222464,265215,277247,284927,287487,288255,288767,288767,289023,289023,64749567
Tag=cbaworkload_default_001.block2--insert-rampup--error,40.014,10.020,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_001.block2--insert-rampup--resultset-size,40.015,10.020,11994,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_001.tokenfiller,40.015,10.020,9232,1010176,1026047,1032703,1041919,1048575,1049599,1051647,1051647,1052671,1052671,6582271
Tag=cbaworkload_default_001.retry-delay,40.017,10.020,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_001.pages,40.018,10.020,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_001.skipped-tokens,40.018,10.020,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_001.resultset-size,40.019,10.020,11989,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_001.read_input,40.019,10.020,11989,200,200,200,200,200,200,200,200,200,200,105151
Tag=cbaworkload_default_001.strides.servicetime,40.019,10.020,11989,340480,663039,810495,1087487,1200127,1267711,1307647,1320959,1325055,1325055,699400191
Tag=cbaworkload_default_001.bind,40.022,10.020,12024,23296,24911,25215,25407,25503,25503,25503,25615,25615,25615,4308991
Tag=cbaworkload_default_001.execute,40.024,10.019,12023,4500,5803,6003,6103,6103,6103,6103,6103,6103,6103,502271
Tag=cbaworkload_default_001.result,40.025,10.019,11982,73088,234111,247039,253951,257791,258687,258815,259071,259199,259199,64684031
Tag=cbaworkload_default_001.result-success,40.027,10.020,11980,222464,265215,277247,284927,287487,288255,288767,288767,289023,289023,64749567
Tag=cbaworkload_default_001.tries,40.03,10.019,11976,1,1,1,1,1,1,1,1,1,1,1
Tag=cbaworkload_default_001.cycles.servicetime,40.03,10.019,11976,408320,474623,500479,523519,530943,533503,535551,536575,537599,537599,65601535
Tag=cbaworkload_default_001.phases.servicetime,40.032,10.020,11973,259072,317951,328447,335103,340223,340991,341759,342271,342271,342271,64946175
Tag=cbaworkload_default_000.block2--insert-rampup--success,50.001,10.000,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.block2--insert-rampup--error,50.004,9.998,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.block2--insert-rampup--resultset-size,50.004,9.998,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.tokenfiller,50.005,9.998,9203,1007616,1013247,1015807,1019391,1020927,1021439,1021951,1021951,1021951,1021951,8208383
Tag=cbaworkload_default_000.retry-delay,50.008,9.997,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.pages,50.008,9.998,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.skipped-tokens,50.009,9.997,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.resultset-size,50.01,9.997,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.read_input,50.01,9.997,0,0,0,0,0,0,0,0,0,0,0,0
